name,shape,nbits,ours_bit_density,bonsai_bit_density,ours_zero_scale_frac,bonsai_zero_scale_frac,ours_scale_mean,ours_scale_std,bonsai_scale_mean,bonsai_scale_std,ours_all0_group_frac,ours_all1_group_frac,bonsai_all0_group_frac,bonsai_all1_group_frac,fp16_weight_std,ours_deq_std,bonsai_deq_std,ours_rel_l2,bonsai_rel_l2,ours_cos_fp16,bonsai_cos_fp16
model.layers.10.mlp.gate_proj,6144x2048,12582912,0.4999696612358093,0.4997963309288025,0.0,0.0,0.19693315029144287,0.0567275770008564,0.13971944153308868,0.02425309829413891,0.0,0.0,0.0,0.0,0.03768039867281914,0.09907182306051254,0.07090439647436142,1.9813156127929688,1.6404802799224854,0.7582780718803406,0.49149876832962036
model.layers.10.mlp.up_proj,6144x2048,12582912,0.5004696249961853,0.4999416768550873,0.0,0.0,0.18329495191574097,0.036763302981853485,0.15576964616775513,0.019536685198545456,0.0,0.0,0.0,0.0,0.03430742025375366,0.09039153158664703,0.07849501073360443,1.986798882484436,2.0007834434509277,0.7580502033233643,0.4877118766307831
model.layers.10.self_attn.k_proj,1024x2048,2097152,0.501255989074707,0.5004692077636719,0.0,0.0,0.16991347074508667,0.04679577052593231,0.08265121281147003,0.014702369458973408,0.0,0.0,0.0,0.0,0.03284996747970581,0.08573706448078156,0.041974328458309174,1.9516547918319702,1.1539111137390137,0.7668588161468506,0.509155809879303
model.layers.10.self_attn.o_proj,2048x2048,4194304,0.5003693103790283,0.4997262954711914,0.0,0.0,0.1612192690372467,0.04494059830904007,0.11364918947219849,0.026213400065898895,0.0,0.0,0.0,0.0,0.03150093927979469,0.08180475234985352,0.05831654369831085,1.9336621761322021,1.4956663846969604,0.7710803151130676,0.5915310382843018
model.layers.10.self_attn.q_proj,2048x2048,4194304,0.4992983341217041,0.4999532699584961,0.0,0.0,0.17700475454330444,0.052044689655303955,0.07875780016183853,0.016556281596422195,0.0,0.0,0.0,0.0,0.0341719351708889,0.08938257396221161,0.0402395986020565,1.9631427526474,1.1015498638153076,0.7622920870780945,0.4981653392314911
model.layers.10.self_attn.v_proj,1024x2048,2097152,0.5010738372802734,0.5000619888305664,0.0,0.0,0.18284152448177338,0.02822260372340679,0.14231657981872559,0.017799537628889084,0.0,0.0,0.0,0.0,0.034086622297763824,0.09010230004787445,0.0717126727104187,1.9913750886917114,1.697350025177002,0.7607147693634033,0.6048780679702759
model.layers.11.mlp.down_proj,2048x6144,12582912,0.5006023645401001,0.5001840591430664,0.0,0.0,0.18390971422195435,0.03418603911995888,0.10686182975769043,0.012645874172449112,0.0,0.0,0.0,0.0,0.033476848155260086,0.09026825428009033,0.053803734481334686,2.056148052215576,1.3425664901733398,0.7496998310089111,0.553942084312439
model.layers.11.mlp.gate_proj,6144x2048,12582912,0.5004348158836365,0.5006543397903442,0.0,0.0,0.18767258524894714,0.04763171821832657,0.1396295428276062,0.02319135144352913,0.0,0.0,0.0,0.0,0.03581160679459572,0.09388847649097443,0.07077112793922424,1.969224452972412,1.7312438488006592,0.7620244026184082,0.48279112577438354
model.layers.11.mlp.up_proj,6144x2048,12582912,0.5005686283111572,0.5002812147140503,0.0,0.0,0.18609213829040527,0.03425035998225212,0.16246658563613892,0.020174464210867882,0.0,0.0,0.0,0.0,0.03508824482560158,0.09202498197555542,0.08185718208551407,1.9672249555587769,2.032139539718628,0.7641903758049011,0.49569475650787354
model.layers.11.self_attn.k_proj,1024x2048,2097152,0.49831628799438477,0.5003805160522461,0.0,0.0,0.1726718544960022,0.06564491242170334,0.08854468911886215,0.025691041722893715,0.0,0.0,0.0,0.0,0.033062923699617386,0.08870766311883926,0.04609823226928711,2.0508627891540527,1.2235411405563354,0.7440259456634521,0.5188789963722229
model.layers.11.self_attn.o_proj,2048x2048,4194304,0.5007829666137695,0.49982237815856934,0.0,0.0,0.14769592881202698,0.059155113995075226,0.10264915227890015,0.057779714465141296,0.0,0.0,0.0,0.0,0.0299195796251297,0.07770811021327972,0.05889682099223137,1.9361014366149902,1.609065055847168,0.7694989442825317,0.5806231498718262
model.layers.11.self_attn.q_proj,2048x2048,4194304,0.4987504482269287,0.4999706745147705,0.0,0.0,0.18250292539596558,0.07527324557304382,0.08666779100894928,0.02748091332614422,0.0,0.0,0.0,0.0,0.0362195186316967,0.09558609127998352,0.04546016454696655,1.9949785470962524,1.10356867313385,0.7549594044685364,0.5407751798629761
model.layers.11.self_attn.v_proj,1024x2048,2097152,0.49908924102783203,0.4997234344482422,0.0,0.0,0.1779877245426178,0.03608027473092079,0.14260926842689514,0.019092662259936333,0.0,0.0,0.0,0.0,0.03241949528455734,0.08748500049114227,0.0719408169388771,2.069551467895508,1.809644103050232,0.7409665584564209,0.5969685912132263
model.layers.12.mlp.down_proj,2048x6144,12582912,0.5009961128234863,0.5001381635665894,0.0,0.0,0.18378643691539764,0.0351683646440506,0.10733827203512192,0.013515704311430454,0.0,0.0,0.0,0.0,0.033463019877672195,0.09031064063310623,0.054092925041913986,2.0586438179016113,1.3522282838821411,0.7495173215866089,0.5519791841506958
